1471-003X	Nature Reviews Neuroscience
0006-8950	Brain
1758-8928	Cognitive Neuroscience
0166-2236	Trends in Neurosciences
1863-2653	Brain Structure & function
0898-929X	Journal of Cognitive Neuroscience
0022-3077	Journal of neurophysiology
0301-0511	Biological Psychology
0896-0267	Brain topography
0256-7040	Child's nervous system
0270-6474	The Journal of Neuroscience
0896-6273	Neuron
1097-6256	Nature Neuroscience
1047-3211	Cerebral Cortex
1053-8119	Neuroimage
1065-9471	Human brain mapping
0010-9452	Cortex
0953-816X	EJN, European Journal of Neuroscience
1359-5962	Supplement ... to the European journal of neuroscience
0014-4819	Experimental Brain Research
0028-3932	Neuropsychologia
0147-006X	Annual Review of Neuroscience
