id,name,count,child_count,children
9001,"mesencephalon",116.137376439,10604,171
9002,"midbrain tegmentum",49.6470738321,2060,112
9003,"central gray substance of midbrain",110.302576286,0,13
9004,"central gray substance of midbrain, left",220.605152572,0,6
9005,"central gray substance of midbrain, right",220.605152572,0,6
9012,"interpeduncular nucleus",110.302576286,0,3
9013,"interpeduncular nucleus, left",220.605152572,0,1
9014,"interpeduncular nucleus, right",220.605152572,0,1
9015,"interstitial nucleus of Cajal",110.302576286,0,3
9016,"interstitial nucleus of Cajal, left",220.605152572,0,1
9017,"interstitial nucleus of Cajal, right",220.605152572,0,1
9018,"midbrain reticular formation",110.302576286,0,9
9019,"midbrain reticular formation, left",220.605152572,0,4
9020,"cuneiform nucleus, left",441.210305145,0,1
9021,"pedunculopontine tegmental nucleus, left",441.210305145,0,1
9022,"subcuneiform nucleus, left",441.210305145,0,1
9023,"midbrain reticular formation, right",220.605152572,0,4
9024,"cuneiform nucleus, right",441.210305145,0,1
9025,"pedunculopontine tegmental nucleus, right",441.210305145,0,1
9026,"subcuneiform nucleus, right",441.210305145,0,1
9027,"nucleus of the posterior commissure",110.302576286,0,3
9028,"nucleus of the posterior commissure, left",220.605152572,0,1
9029,"nucleus of the posterior commissure, right",220.605152572,0,1
9030,"oculomotor nuclear complex",110.302576286,0,17
9031,"oculomotor nuclear complex, left",220.605152572,0,8
9032,"anterior median oculomotor nucleus, left",441.210305145,0,1
9033,"caudal central oculomotor nucleus, left",441.210305145,0,1
9034,"central oculomotor nucleus, left",441.210305145,0,1
9035,"dorsal oculomotor nucleus, left",441.210305145,0,1
9036,"intermediate oculomotor nucleus, left",441.210305145,0,1
9037,"medial oculomotor nucleus, left",441.210305145,0,1
9038,"ventral oculomotor nucleus, left",441.210305145,0,1
9039,"oculomotor nuclear complex, right",220.605152572,0,8
9040,"anterior median oculomotor nucleus, right",441.210305145,0,1
9041,"caudal central oculomotor nucleus, right",441.210305145,0,1
9042,"central oculomotor nucleus, right",441.210305145,0,1
9043,"dorsal oculomotor nucleus, right",441.210305145,0,1
9044,"intermediate oculomotor nucleus, right",441.210305145,0,1
9045,"medial oculomotor nucleus, right",441.210305145,0,1
9046,"ventral oculomotor nucleus, right",441.210305145,0,1
9047,"nucleus of Darkschewitsch",110.302576286,0,3
9048,"nucleus of Darkschewitsch, left",220.605152572,0,1
9049,"nucleus of Darkschewitsch, right",220.605152572,0,1
9050,"peripeduncular nucleus",110.302576286,0,3
9051,"peripeduncular nucleus, left",220.605152572,0,1
9052,"peripeduncular nucleus, right",220.605152572,0,1
9053,"red nucleus",275.302576286,165,7
9054,"red nucleus, left",227.971474787,0,3
9055,"magnocellular part of the red nucleus, left",455.942949573,0,1
9056,"parvocellular part of the red nucleus, left",455.942949573,0,1
9057,"red nucleus, right",227.971474787,0,3
9058,"magnocellular part of the red nucleus, right",455.942949573,0,1
9059,"parvocellular part of thered nucleus, right",455.942949573,0,1
9060,"rostral interstitial nucleus of the medial longitudinal fasciculus",110.302576286,0,3
9061,"rostral interstitial nucleus of the medial longitudinal fasciculus, left",220.605152572,0,1
9062,"rostral interstitial nucleus of the medial longitudinal fasciculus, right",220.605152572,0,1
9063,"trochlear nucleus",110.302576286,0,3
9064,"trochlear nucleus, left",220.605152572,0,1
9065,"trochlear nucleus, right",220.605152572,0,1
9066,"ventral tegmental area",1150.30257629,1040,13
9067,"ventral tegmental area, left",230.627520386,0,6
9068,"ventral tegmental area, right",230.627520386,0,6
9069,"ventral tegmental nucleus",110.302576286,0,3
9070,"ventral tegmental nucleus, left",220.605152572,0,1
9071,"ventral tegmental nucleus, right",220.605152572,0,1
9072,"substantia nigra",965.302576286,855,7
9073,"substantia nigra, left",230.344933182,0,3
9074,"substantia nigra, pars compacta, left",460.689866365,0,1
9075,"substantia nigra, pars reticulata, left",460.689866365,0,1
9076,"substantia nigra, right",230.344933182,0,3
9077,"substantia nigra, pars compacta, right",460.689866365,0,1
9078,"substantia nigra, pars reticulata, right",460.689866365,0,1
9079,"pretectal region",49.6470738321,0,16
9080,"nucleus of the optic tract",99.2941476642,0,3
9081,"nucleus of the optic tract, left",198.588295328,0,1
9082,"nucleus of the optic tract, right",198.588295328,0,1
9083,"nucleus of the pretectal area",99.2941476642,0,3
9084,"nucleus of the pretectal area, left",198.588295328,0,1
9085,"nucleus of the pretectal area, right",198.588295328,0,1
9086,"olivary pretectal nucleus",99.2941476642,0,3
9087,"olivary pretectal nucleus, left",198.588295328,0,1
9088,"olivary pretectal nucleus, right",198.588295328,0,1
9089,"principal pretectal nucleus",99.2941476642,0,3
9090,"principal pretectal nucleus, left",198.588295328,0,1
9091,"principal pretectal nucleus, right",198.588295328,0,1
9092,"sublentiform nucleus",99.2941476642,0,3
9093,"sublentiform nucleus, left",198.588295328,0,1
9094,"sublentiform nucleus, right",198.588295328,0,1
9101,"midbrain tectum",49.6470738321,3193,42
9102,"inferior colliculus",1374.9348445,1264,9
9103,"inferior colliculus, left",232.173469752,0,4
9104,"central nucleus of the inferior colliculus, left",464.346939503,0,1
9105,"external nucleus of the inferior colliculus, left",464.346939503,0,1
9106,"pericentral nucleus of the inferior colliculus, left",464.346939503,0,1
9107,"inferior colliculus, right",232.173469752,0,4
9108,"central nucleus of the inferior colliculus, right",464.346939503,0,1
9109,"external nucleus of the inferior colliculus, right",464.346939503,0,1
9110,"pericentral nucleus of the inferior colliculus, right",464.346939503,0,1
9111,"parabigeminal nucleus",110.934844502,0,3
9112,"parabigeminal nucleus, left",221.869689003,0,1
9113,"parabigeminal nucleus, right",221.869689003,0,1
9114,"superior colliculus",2039.9348445,1929,17
9115,"superior colliculus, left",232.783326432,0,8
9116,"stratum lemnisci of the superior colliculus, left",465.566652863,0,5
9117,"deep gray layer of the superior colliculus, left",931.133305726,0,1
9118,"deep white layer of the superior colliculus, left",931.133305726,0,1
9119,"middle gray layer of the superior colliculus, left",931.133305726,0,1
9120,"middle white layer of the superior colliculus, left",931.133305726,0,1
9121,"superficial gray layer of the superior colliculus, left",465.566652863,0,1
9122,"superficial white layer of the superior colliculus, left",465.566652863,0,1
9123,"superior colliculus, right",232.783326432,0,8
9124,"stratum lemnisci of the superior colliculus, right",465.566652863,0,5
9125,"deep gray layer of the superior colliculus, right",931.133305726,0,1
9126,"deep white layer of the superior colliculus, right",931.133305726,0,1
9127,"middle gray layer of the superior colliculus, right",931.133305726,0,1
9128,"middle white layer of the superior colliculus, right",931.133305726,0,1
9129,"superficial gray layer of the superior colliculus, right",465.566652863,0,1
9130,"superficial white layer of the superior colliculus, right",465.566652863,0,1
9131,"pons",215.460247801,1446,112
9132,"basal part of pons",109.41834744,68,4
9133,"pontine nuclei",292.924157721,68,3
9135,"pontine tegmentum",109.41834744,572,107
9136,"abducens nucleus",311.996566216,84,3
9137,"abducens nucleus, left",462.385449856,0,1
9138,"abducens nucleus, right",462.385449856,0,1
9139,"dorsal nucleus of lateral lemniscus",227.996566216,0,3
9140,"dorsal nucleus of lateral lemniscus, left",455.993132433,0,1
9141,"dorsal nucleus of lateral lemniscus, right",455.993132433,0,1
9142,"facial motor nucleus",227.996566216,0,15
9143,"facial motor nucleus, left",455.993132433,0,7
9144,"facial motor nucleus, right",455.993132433,0,7
9145,"lateral parabrachial nucleus",227.996566216,0,3
9146,"lateral parabrachial nucleus, left",455.993132433,0,1
9147,"lateral parabrachial nucleus, right",455.993132433,0,1
9148,"locus ceruleus",353.996566216,126,3
9149,"locus ceruleus, left",462.970412356,0,1
9150,"locus ceruleus, right",462.970412356,0,1
9151,"medial parabrachial nucleus",227.996566216,0,3
9152,"medial parabrachial nucleus, left",455.993132433,0,1
9153,"medial parabrachial nucleus,right",455.993132433,0,1
9154,"nucleus subceruleus",227.996566216,0,3
9155,"nucleus subceruleus, left",455.993132433,0,1
9156,"nucleus subceruleus, right",455.993132433,0,1
9157,"pontine raphe nucleus",227.996566216,0,3
9158,"pontine raphe nucleus, left",455.993132433,0,1
9159,"pontine raphe nucleus,right",455.993132433,0,1
9160,"paramedian pontine reticular formation",227.996566216,0,9
9161,"pontine reticular formation, left",455.993132433,0,4
9162,"caudal pontine reticular nucleus, left",911.986264866,0,1
9166,"oral pontine reticular nucleus, left",911.986264866,0,1
9167,"reticulotegmental nucleus, left",911.986264866,0,1
9169,"pontine reticular formation, right",455.993132433,0,4
9170,"caudal pontine reticular nucleus, right",911.986264866,0,1
9174,"oral pontine reticular nucleus, right",911.986264866,0,1
9175,"reticulotegmental nucleus, right",911.986264866,0,1
9177,"superior olivary complex",375.996566216,148,19
9178,"superior olivary complex, left",463.202585798,0,9
9179,"periolivary nucleus, left",926.405171597,0,1
9180,"preolivary nucleus, left",926.405171597,0,1
9181,"retro-olivary cell group, left",926.405171597,0,1
9182,"superior olive, left",926.405171597,0,3
9183,"lateral superior olivary nucleus, left",1852.81034319,0,1
9184,"medial superior olivary nucleus, left",1852.81034319,0,1
9185,"trapezoid nuclei, left",926.405171597,0,1
9186,"superior olivary complex, right",463.202585798,0,9
9187,"periolivary nucleus, right",926.405171597,0,1
9188,"preolivary nucleus, right",926.405171597,0,1
9189,"retro-olivary cell group, right",926.405171597,0,1
9190,"superior olive, right",926.405171597,0,3
9191,"lateral superior olivary nucleus, right",1852.81034319,0,1
9192,"medial superior olivary nucleus, right",1852.81034319,0,1
9193,"trapezoid nuclei, right",926.405171597,0,1
9194,"superior salivatory nucleus",227.996566216,0,3
9195,"superior salivatory nucleus, left",455.993132433,0,1
9196,"superior salivatory nucleus, right",455.993132433,0,1
9197,"trapezoid body",441.996566216,214,3
9198,"trapezoid body, left",463.734599419,0,1
9199,"trapezoid body, right",463.734599419,0,1
9200,"ventral nucleus of lateral lemniscus",227.996566216,0,3
9201,"ventral nucleus of lateral lemniscus, left",455.993132433,0,1
9202,"ventral nucleus of lateral lemniscus, right",455.993132433,0,1
9203,"trigeminal nuclei",227.996566216,0,9
9204,"trigeminal nuclei, left",455.993132433,0,4
9205,"mesencephalic nucleus of trigeminal nerve, left",911.986264866,0,1
9206,"motor nucleus of trigeminal nerve, left",911.986264866,0,1
9207,"principal sensory nucleus of trigeminal nerve, left",911.986264866,0,1
9211,"trigeminal nuclei, right",455.993132433,0,4
9212,"mesencephalic nucleus of trigeminal nerve, right",911.986264866,0,1
9213,"motor nucleus of trigeminal nerve, right",911.986264866,0,1
9214,"principal sensory nucleus of trigeminal nerve, right",911.986264866,0,1
9218,"white matter",3234,16846,336
9219,"telencephalic white matter",14.0401184508,4068,175
9220,"telencephalic commissures",40.0703408654,856,13
9221,"anterior commissure",166.882148717,77,1
9222,"corpus callosum",868.882148717,779,7
9223,"genu of the corpus callosum",189.369776952,0,1
9224,"body of the corpus callosum",189.369776952,0,1
9225,"splenium of the corpus callosum",189.369776952,0,1
9226,"rostrum of the corpus callosum",189.369776952,0,1
9227,"habenular commissure",89.8821487172,0,1
9228,"hippocampal commissure",89.8821487172,0,1
9229,"posterior commissure",89.8821487172,0,1
9230,"telencephalic white matter tracts",40.0703408654,1178,161
9231,"arcuate fasciculus",166.342805555,76,3
9232,"arcuate fasciculus, left",186.933538623,0,1
9233,"arcuate fasciculus, right",186.933538623,0,1
9234,"alveus",90.3428055546,0,3
9235,"alveus, left",180.685611109,0,1
9236,"alveus, right",180.685611109,0,1
9237,"ansa lenticularis",90.3428055546,0,3
9238,"ansa lenticularis, left",180.685611109,0,1
9239,"ansa lenticularis, right",180.685611109,0,1
9240,"cingulum bundle",90.3428055546,0,3
9241,"cingulum bundle, left",180.685611109,0,1
9242,"cingulum bundle, right",180.685611109,0,1
9243,"external capsule",90.3428055546,0,3
9244,"external capsule, left",180.685611109,0,1
9245,"external capsule, right",180.685611109,0,1
9246,"extreme capsule",90.3428055546,0,3
9247,"extreme capsule, left",180.685611109,0,1
9248,"extreme capsule, right",180.685611109,0,1
9249,"fornix",333.342805555,243,11
9250,"fornix, left",188.610423613,0,5
9251,"anterior column of the fornix, left",377.220847226,0,1
9252,"body of the fornix, left",377.220847226,0,1
9253,"fimbria, left",377.220847226,0,1
9254,"posterior column of the fornix, left",377.220847226,0,1
9255,"fornix, right",188.610423613,0,5
9256,"anterior column of the fornix, right",377.220847226,0,1
9257,"body of the fornix, right",377.220847226,0,1
9258,"fimbria, right",377.220847226,0,1
9259,"posterior column of the fornix, right",377.220847226,0,1
9260,"inferior longitudinal fasciculus",90.3428055546,0,3
9261,"inferior longitudinal fasciculus, left",180.685611109,0,1
9262,"inferior longitudinal fasciculus, right",180.685611109,0,1
9263,"internal capsule",237.342805555,147,3
9264,"internal capsule, left",187.885283454,0,1
9265,"internal capsule, right",187.885283454,0,1
9266,"mammillothalamic tract",90.3428055546,0,3
9267,"mammillothalamic tract, left",180.685611109,0,1
9268,"mammillothalamic tract, right",180.685611109,0,1
9269,"occipitofrontal fasciculus",90.3428055546,0,3
9270,"occipitofrontal fasciculus, left",180.685611109,0,1
9271,"occipitofrontal fasciculus, right",180.685611109,0,1
9272,"perpendicular fasciculus",90.3428055546,0,3
9273,"perpendicular fasciculus, left",180.685611109,0,1
9274,"perpendicular fasciculus, right",180.685611109,0,1
9275,"stria medullaris",90.3428055546,0,3
9276,"stria medullaris, left",180.685611109,0,1
9277,"stria medullaris, right",180.685611109,0,1
